Author-作者,Title-题名,Source-刊名,Year-年,Roll-卷,Period-期,PageCount-页码
王爱英 ;李连英,关于企业女职工工作中的几个问题,妇女学苑,1992,,4,25-26
陈宝泉,工会实现维权职能之我见,工会理论与实践.中国工运学院学报,1995,,6,"""18"""
王爱英,关于企业女职工工作中值得探讨的几个问题,中华女子学院学报,1995,,4,9月13日
陈卿谋,维权──香港工联会的基本职能,中国工运,1995,,11,38
刘福元;,工会理论与工会工作,工会论坛,1995,,3,42-45
司马雷;,中国工会依法维权好艰难,时代风采,1996,,9,"""12-13"""
刘渊源;,打工妹的血泪控诉,时代风采,1996,,9,"""4-9"""
,垦区维权新貌,中国妇运,1996,,12,28
朱超;,维权应从强化约束机制建设入手,当代工会,1996,,6,15-17
张炜,关于高校工会维护教职工合法权益问题,攀枝花大学学报,1996,,4,67-71
黄建超,好一个“维权主席”,中国工会财会,1996,,9,16
刘元祥,辞退骆卫平事件依法得到纠正后的思考,中国工运,1996,,7,42
尉工延,工会干部的权益应当得到保护──宁波东海人造板厂辞退工会副主席依法得到纠正,中国工运,1996,,3,36-37
刘承新;,对困难企业工会维权的几点思考,工会理论研究.上海工会管理干部学院学报,1997,,2,"""35-37"""
王裕建;,工会维权工作应注意搞好五个结合,工会论坛,1997,,4,"""14-15"""
孙德强,工会“维权”的法律武器——“支持起诉”,工会理论与实践(中国工运学院学报),1997,,2,"""67-69"""
司马雷;,工会:依法维权好艰难!,人大建设,1997,,3,"""30-32"""
张书卿;赵树然;,威海高新开发区工会主动担当与非公有制经济组织中外方经营者平等协商谈判的职责收到成效,工会论坛,1997,,6,44
何应洋,维权不能“唯权”﹄,中国工运,1997,,6,32
叶毅;,关于新时期工会院校马克思主义哲学教学现状的思考,工会理论研究.上海工会管理干部学院学报,1997,,1,17-19
罗兴华;李微智,浅谈股份合作制企业的工会维权工作,煤炭企业管理,1998,,12,"""24"""
天文,突出依法维权 坚持依法治会 把工会工作纳入法制化轨道——全国工会法律工作会议综述,中国工运,1998,,6,"""29"""
张学义,对工会履行维护职能的几点认识,胜利论坛,1998,,5,59-60
王欣文,从功能定位看教育工会的改革,苏州教育学院学报,1998,,3,118-119
刘培德,积极探索市场经济条件下的工会工作,煤炭企业管理,1998,,12,22-23
张景阳;沈凤莉,搞好新闻舆论监督 依法维护劳动者合法权益,采.写.编,1998,,6,53-54
耿言,创新才能天地宽,上海轻工业,1998,,5,47
齐乃贵,山东省各级工会积极参与企业股份制改革,中国中小企业,1998,,8,23-24
韦炳康;刘利荣,来自“娘家”的爱──柳铁工会女职工委员工作纪实,中国妇运,1998,,4,39-40
关彬枫,中国工会:我国社会主义历史阶段不可或缺的监督组织,工会理论与实践.中国工运学院学报,1998,,2,18-20
陈沙;任鲁萍,浅析工会劳动法律监督的民主性,工会理论与实践.中国工运学院学报,1998,,2,36-37
徐本道,充分发挥工会维护职工权益的职能,理论建设,1998,,1,55-57+51
任鲁萍;陈沙;,浅析工会劳动法律监督的民主性,工会理论研究(上海工会管理干部学院学报),1998,,1,26-27
杨冬梅,我国新经济组织工会维权问题初探,工会理论与实践.中国工运学院学报,1999,,2,"""19-22"""
